Car_Number,Arrive,Depart,Wait,Direction
3,0,0,0,E
4,0,0,0,W
5,39,40,1,W
6,48,48,0,E
9,96,120,24,E
8,78,120,42,W
11,117,122,5,W
13,144,144,0,E
14,156,156,0,W
15,192,240,48,E
16,195,240,45,W
20,240,242,2,E
19,234,242,8,W
22,273,274,1,W
23,288,288,0,E
27,336,360,24,E
25,312,360,48,W
28,351,362,11,W
29,384,384,0,E
30,390,390,0,W
34,432,480,48,E
33,429,480,51,W
37,480,482,2,E
36,468,482,14,W
38,507,508,1,W
41,528,528,0,E
43,576,600,24,E
42,546,600,54,W
44,585,602,17,W
47,624,624,0,E
48,624,624,0,W
51,672,720,48,E
50,663,720,57,W
54,720,722,2,E
52,702,722,20,W
56,741,742,1,W
57,768,768,0,E
61,816,840,24,E
58,780,840,60,W
62,819,842,23,W
64,858,858,0,W
65,864,864,0,E
66,897,898,1,W
67,912,960,48,E
70,936,960,24,W
71,960,962,2,E
72,975,976,1,W
74,1008,1008,0,E
75,1014,1014,0,W
79,1056,1080,24,E
77,1053,1080,27,W
80,1092,1092,0,W
81,1104,1104,0,E
84,1131,1132,1,W
85,1152,1200,48,E
86,1170,1200,30,W
88,1200,1202,2,E
89,1209,1210,1,W
91,1248,1248,0,E
92,1248,1248,0,W
95,1296,1320,24,E
94,1287,1320,33,W
98,1326,1326,0,W
99,1344,1344,0,E
100,1365,1366,1,W
102,1392,1440,48,E
103,1404,1440,36,W
105,1440,1442,2,E
106,1443,1444,1,W
108,1482,1482,0,W
109,1488,1488,0,E
113,1536,1560,24,E
111,1521,1560,39,W
114,1560,1562,2,W
116,1584,1584,0,E
117,1599,1600,1,W
119,1632,1680,48,E
120,1638,1680,42,W
123,1680,1682,2,E
122,1677,1682,5,W
125,1716,1716,0,W
126,1728,1728,0,E
129,1776,1800,24,E
128,1755,1800,45,W
131,1794,1802,8,W
132,1824,1824,0,E
133,1833,1834,1,W
136,1872,1920,48,E
137,1872,1920,48,W
140,1920,1922,2,E
138,1911,1922,11,W
142,1950,1950,0,W
143,1968,1968,0,E
146,2016,2040,24,E
145,1989,2040,51,W
147,2028,2042,14,W
150,2064,2064,0,E
151,2067,2068,1,W
154,2112,2160,48,E
152,2106,2160,54,W
157,2160,2162,2,E
156,2145,2162,17,W
159,2184,2184,0,W
160,2208,2208,0,E
164,2256,2280,24,E
161,2223,2280,57,W
165,2262,2282,20,W
166,2301,2302,1,W
167,2304,2304,0,E
171,2352,2400,48,E
169,2340,2400,60,W
174,2400,2402,2,E
173,2379,2402,23,W
175,2418,2418,0,W
178,2448,2448,0,E
179,2457,2458,1,W
180,2496,2520,24,E
181,2496,2520,24,W
183,2535,2536,1,W
184,2544,2544,0,E
187,2574,2574,0,W
188,2592,2640,48,E
189,2613,2640,27,W
191,2640,2642,2,E
193,2652,2652,0,W
194,2688,2688,0,E
195,2691,2692,1,W
198,2736,2760,24,E
197,2730,2760,30,W
200,2769,2770,1,W
202,2784,2784,0,E
203,2808,2808,0,W
204,2832,2880,48,E
206,2847,2880,33,W
208,2880,2882,2,E
209,2886,2886,0,W
211,2925,2926,1,W
212,2928,2928,0,E
216,2976,3000,24,E
214,2964,3000,36,W
217,3003,3004,1,W
218,3024,3024,0,E
220,3042,3042,0,W
222,3072,3120,48,E
223,3081,3120,39,W
225,3120,3122,2,E
226,3120,3122,2,W
227,3159,3160,1,W
230,3168,3168,0,E
232,3216,3240,24,E
231,3198,3240,42,W
234,3237,3242,5,W
236,3264,3264,0,E
237,3276,3276,0,W
239,3312,3360,48,E
240,3315,3360,45,W
242,3360,3362,2,E
241,3354,3362,8,W
245,3393,3394,1,W
246,3408,3408,0,E
249,3456,3480,24,E
248,3432,3480,48,W
251,3471,3482,11,W
253,3504,3504,0,E
254,3510,3510,0,W
256,3552,3600,48,E
255,3549,3600,51,W
260,3600,3602,2,E
259,3588,3602,14,W
261,3627,3628,1,W
264,3674,3720,46,E
265,3687,3720,33,W
268,3748,3748,0,E
267,3747,3748,1,W
270,3822,3840,18,E
269,3807,3840,33,W
273,3867,3868,1,W
274,3896,3896,0,E
275,3927,3960,33,W
277,3970,3970,0,E
278,3987,3988,1,W
281,4044,4080,36,E
282,4047,4080,33,W
283,4107,4108,1,W
284,4118,4118,0,E
288,4192,4200,8,E
287,4167,4200,33,W
289,4227,4228,1,W
291,4266,4320,54,E
292,4287,4320,33,W
294,4340,4340,0,E
296,4347,4348,1,W
298,4414,4440,26,E
297,4407,4440,33,W
301,4467,4468,1,W
302,4488,4488,0,E
303,4527,4560,33,W
305,4562,4562,0,E
306,4587,4588,1,W
308,4636,4680,44,E
309,4647,4680,33,W
311,4707,4708,1,W
312,4710,4710,0,E
316,4784,4800,16,E
314,4767,4800,33,W
317,4827,4828,1,W
319,4858,4858,0,E
320,4887,4920,33,W
321,4932,4932,0,E
323,4947,4948,1,W
325,5006,5040,34,E
326,5007,5040,33,W
328,5067,5068,1,W
329,5080,5080,0,E
332,5154,5160,6,E
331,5127,5160,33,W
334,5187,5188,1,W
335,5228,5280,52,E
336,5247,5280,33,W
339,5302,5302,0,E
340,5307,5308,1,W
343,5376,5400,24,E
342,5367,5400,33,W
345,5427,5428,1,W
346,5450,5450,0,E
348,5487,5520,33,W
349,5524,5524,0,E
350,5547,5548,1,W
353,5598,5640,42,E
354,5607,5640,33,W
355,5667,5668,1,W
357,5672,5672,0,E
360,5746,5760,14,E
359,5727,5760,33,W
362,5787,5788,1,W
363,5820,5880,60,E
364,5847,5880,33,W
367,5894,5894,0,E
368,5907,5908,1,W
370,5968,6000,32,E
369,5967,6000,33,W
372,6027,6028,1,W
374,6042,6042,0,E
377,6116,6120,4,E
376,6087,6120,33,W
378,6147,6148,1,W
380,6190,6240,50,E
382,6207,6240,33,W
383,6264,6264,0,E
384,6267,6268,1,W
387,6338,6360,22,E
386,6327,6360,33,W
390,6387,6388,1,W
391,6412,6412,0,E
392,6447,6480,33,W
394,6486,6486,0,E
395,6507,6508,1,W
397,6560,6600,40,E
398,6567,6600,33,W
400,6627,6628,1,W
401,6634,6634,0,E
405,6708,6720,12,E
403,6687,6720,33,W
406,6747,6748,1,W
407,6782,6840,58,E
409,6807,6840,33,W
411,6856,6856,0,E
412,6867,6868,1,W
415,6930,6960,30,E
414,6927,6960,33,W
416,6987,6988,1,W
419,7004,7004,0,E
421,7078,7080,2,E
420,7047,7080,33,W
423,7107,7108,1,W
425,7152,7200,48,E
426,7167,7200,33,W
428,7226,7226,0,E
429,7227,7228,1,W
432,7308,7320,12,E
430,7294,7320,26,W
434,7361,7362,1,W
435,7390,7440,50,E
437,7428,7440,12,W
438,7472,7472,0,E
440,7495,7496,1,W
442,7554,7560,6,E
443,7562,7562,0,W
445,7636,7680,44,E
444,7629,7680,51,W
448,7696,7696,0,W
449,7718,7718,0,E
452,7800,7800,0,E
450,7763,7800,37,W
453,7830,7830,0,W
456,7882,7920,38,E
457,7897,7920,23,W
458,7964,7964,0,E
459,7964,7964,0,W
462,8031,8040,9,W
463,8046,8046,0,E
464,8098,8098,0,W
466,8128,8160,32,E
467,8165,8166,1,W
469,8210,8210,0,E
471,8232,8280,48,W
472,8292,8292,0,E
473,8299,8300,1,W
477,8374,8400,26,E
476,8366,8400,34,W
478,8433,8434,1,W
480,8456,8456,0,E
481,8500,8520,20,W
483,8538,8538,0,E
485,8567,8568,1,W
486,8620,8640,20,E
487,8634,8640,6,W
490,8702,8760,58,E
489,8701,8760,59,W
492,8768,8768,0,W
494,8784,8784,0,E
496,8866,8880,14,E
495,8835,8880,45,W
499,8902,8902,0,W
500,8948,9000,52,E
501,8969,9000,31,W
503,9030,9030,0,E
504,9036,9036,0,W
